# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P239
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P239;P791;P745;P399;P199;P500
0.0;4.0;2.0;17.0;4.0;8.0
0.0;3.0;10.0;11.0;1.0;8.0
1.0;4.0;6.0;8.0;1.0;3.0
0.0;2.0;2.0;9.0;6.0;4.0
0.0;6.0;2.0;8.0;3.0;13.0
0.0;6.0;2.0;5.0;7.0;9.0
0.0;6.0;4.0;18.0;1.0;5.0
0.0;7.0;7.0;15.0;4.0;6.0
0.0;6.0;4.0;12.0;4.0;10.0
0.0;4.0;4.0;21.0;5.0;8.0
2.0;5.0;4.0;15.0;3.0;10.0
1.0;2.0;4.0;10.0;5.0;4.0
0.0;5.0;2.0;13.0;7.0;12.0
0.0;4.0;3.0;13.0;4.0;6.0
0.0;4.0;6.0;15.0;3.0;11.0
0.0;9.0;3.0;14.0;1.0;7.0
0.0;5.0;5.0;6.0;2.0;5.0
0.0;10.0;8.0;11.0;2.0;6.0
1.0;5.0;3.0;18.0;5.0;8.0
0.0;7.0;3.0;12.0;5.0;3.0
0.0;5.0;4.0;17.0;3.0;6.0
0.0;7.0;10.0;21.0;2.0;7.0
0.0;8.0;2.0;16.0;2.0;4.0
0.0;7.0;8.0;16.0;7.0;9.0
0.0;12.0;9.0;26.0;5.0;8.0
2.0;9.0;12.0;20.0;8.0;4.0
0.0;3.0;4.0;11.0;1.0;6.0
1.0;8.0;4.0;11.0;3.0;7.0
0.0;6.0;4.0;6.0;0.0;5.0
0.0;3.0;4.0;5.0;3.0;6.0
0.0;5.0;6.0;8.0;8.0;8.0
0.0;3.0;2.0;7.0;2.0;7.0
1.0;2.0;3.0;9.0;1.0;4.0
0.0;4.0;4.0;10.0;2.0;4.0
0.0;2.0;9.0;8.0;1.0;8.0
0.0;6.0;6.0;15.0;2.0;6.0
0.0;4.0;6.0;9.0;1.0;4.0
0.0;4.0;4.0;7.0;4.0;8.0
0.0;3.0;6.0;14.0;4.0;7.0
0.0;5.0;2.0;14.0;2.0;4.0
0.0;2.0;8.0;7.0;2.0;4.0
1.0;8.0;4.0;14.0;3.0;2.0
0.0;4.0;4.0;6.0;6.0;5.0
0.0;8.0;5.0;13.0;2.0;6.0
0.0;3.0;6.0;14.0;7.0;5.0
0.0;6.0;5.0;13.0;4.0;3.0
0.0;6.0;6.0;11.0;3.0;4.0
0.0;4.0;9.0;16.0;4.0;5.0
0.0;4.0;12.0;10.0;2.0;3.0
1.0;13.0;9.0;14.0;1.0;5.0
0.0;6.0;5.0;18.0;3.0;8.0
0.0;13.0;6.0;23.0;2.0;6.0
0.0;2.0;2.0;5.0;0.0;2.0
2.0;13.0;12.0;26.0;8.0;13.0
0.0;0.18;0.0;0.57;0.5;0.55
0.0;0.09;0.8;0.29;0.13;0.55
0.5;0.18;0.4;0.14;0.13;0.09
0.0;0.0;0.0;0.19;0.75;0.18
0.0;0.36;0.0;0.14;0.38;1.0
0.0;0.36;0.0;0.0;0.88;0.64
0.0;0.36;0.2;0.62;0.13;0.27
0.0;0.45;0.5;0.48;0.5;0.36
0.0;0.36;0.2;0.33;0.5;0.73
0.0;0.18;0.2;0.76;0.63;0.55
1.0;0.27;0.2;0.48;0.38;0.73
0.5;0.0;0.2;0.24;0.63;0.18
0.0;0.27;0.0;0.38;0.88;0.91
0.0;0.18;0.1;0.38;0.5;0.36
0.0;0.18;0.4;0.48;0.38;0.82
0.0;0.64;0.1;0.43;0.13;0.45
0.0;0.27;0.3;0.05;0.25;0.27
0.0;0.73;0.6;0.29;0.25;0.36
0.5;0.27;0.1;0.62;0.63;0.55
0.0;0.45;0.1;0.33;0.63;0.09
0.0;0.27;0.2;0.57;0.38;0.36
0.0;0.45;0.8;0.76;0.25;0.45
0.0;0.55;0.0;0.52;0.25;0.18
0.0;0.45;0.6;0.52;0.88;0.64
0.0;0.91;0.7;1.0;0.63;0.55
1.0;0.64;1.0;0.71;1.0;0.18
0.0;0.09;0.2;0.29;0.13;0.36
0.5;0.55;0.2;0.29;0.38;0.45
0.0;0.36;0.2;0.05;0.0;0.27
0.0;0.09;0.2;0.0;0.38;0.36
0.0;0.27;0.4;0.14;1.0;0.55
0.0;0.09;0.0;0.1;0.25;0.45
0.5;0.0;0.1;0.19;0.13;0.18
0.0;0.18;0.2;0.24;0.25;0.18
0.0;0.0;0.7;0.14;0.13;0.55
0.0;0.36;0.4;0.48;0.25;0.36
0.0;0.18;0.4;0.19;0.13;0.18
0.0;0.18;0.2;0.1;0.5;0.55
0.0;0.09;0.4;0.43;0.5;0.45
0.0;0.27;0.0;0.43;0.25;0.18
0.0;0.0;0.6;0.1;0.25;0.18
0.5;0.55;0.2;0.43;0.38;0.0
0.0;0.18;0.2;0.05;0.75;0.27
0.0;0.55;0.3;0.38;0.25;0.36
0.0;0.09;0.4;0.43;0.88;0.27
0.0;0.36;0.3;0.38;0.5;0.09
0.0;0.36;0.4;0.29;0.38;0.18
0.0;0.18;0.7;0.52;0.5;0.27
0.0;0.18;1.0;0.24;0.25;0.09
0.5;1.0;0.7;0.43;0.13;0.27
0.0;0.36;0.3;0.62;0.38;0.55
0.0;1.0;0.4;0.86;0.25;0.36
