# max_attributes; 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P518
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; dm_PCA(copy=True, iterated_power='auto', n_components=4, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P518;0;1;2;3
15.0;203.0637294977972;-11.987854775057803;1.3730768229054446;-26.38943347070785
6.0;217.95572856047391;-19.502375421575127;-8.812086255854343;1.3544135387699687
14.0;232.61968594638353;-28.735659819255076;-25.42216847615672;30.715984574219192
12.0;251.07962289700401;-28.35443425623768;11.496054117661018;-0.20536767629775032
11.0;236.98741922637785;-18.16854349806837;-19.54087483469886;-40.321581832794294
18.0;229.38375305428548;-14.477188069921787;-27.760682158475312;-13.370751194705276
8.0;245.6954518490383;-26.00767309570475;-10.38299533905715;-12.75799349547627
9.0;235.62657688266862;-20.158617791529306;40.997094601327895;-21.043815312229775
14.0;251.40528060764552;-18.521482018412218;17.7276859672336;-23.1505944794614
7.0;242.07550644759675;-15.129853435557004;4.122236288844293;-9.946659030549784
15.0;252.48881555887718;-25.03428175806856;10.076073333620592;8.780199308542901
15.0;236.86036748729794;-16.325092896323966;-35.77103415135506;-9.052209907232609
9.0;248.67702800875838;-14.517914529707022;2.579143523593801;22.321421524434307
16.0;243.24502681817177;-16.98396200313354;6.459745305807881;-5.010575199867903
11.0;250.67284424966826;-13.948951909141353;2.951836342593269;13.725963606552996
9.0;260.79597050583493;-8.703652286642377;-3.3721820918927943;-17.551767506110366
9.0;263.5384901858363;-15.581729800896003;-8.865031087017396;-32.70016090860934
11.0;249.4364550727661;4.237808235645188;-41.43434213624032;15.104779816738064
5.0;255.08901029370088;-7.22960500261306;45.46609086580292;7.641601972740756
13.0;238.82479813522588;2.6729323840506787;-27.951760903725663;-26.954418165734594
10.0;250.97315004226877;10.644279423973135;-20.313379934205486;50.808160432711034
10.0;235.5135719904911;10.419940964552818;1.4776158366005718;18.69981816930002
11.0;240.81930983525461;22.697438869899898;-13.994388505131624;32.07154090731094
14.0;230.18000618110833;45.610953632061474;2.259277576920909;0.7973067524955023
11.0;221.79916923723005;91.44307375485648;11.398685911745899;16.515059728080512
16.0;142.1231452084711;108.03921107057468;-12.669412073749308;-15.489000192464657
6.0;109.78552221257307;-18.14346622142123;-0.98610567156954;-12.63863987987608
5.0;120.74915519217551;-22.791843140804296;-9.473265153102973;3.4614824973707807
12.0;134.26315136957953;-18.959945521212507;-12.797628269026793;5.617322606413809
4.0;132.227600678252;-16.83349784615522;7.6230280545590245;16.726813372496625
9.0;145.89836222801557;-20.31672669366831;31.040066832069027;-7.8100007563139435
7.0;140.7856180885553;-17.75311839461778;16.326506408369543;8.580475777870433
5.0;152.0802246661421;-24.187234366052284;10.200810016223059;9.430866402074182
8.0;156.55178690049777;-21.076825395620343;23.23773061408044;-17.888015184385083
9.0;159.16001752861456;-14.556378558826037;10.553167102655955;0.277014499165081
9.0;157.81543439930445;-20.484191581216344;-9.880751151393982;11.099381252717997
6.0;160.65096696782675;-23.35659575068574;-5.342778244319518;12.930681366156623
12.0;161.79259337094254;-7.661070566602974;-15.658061777358721;12.84308895209551
8.0;172.90095876434353;-23.10421703346077;8.579000749283693;6.637885174058009
7.0;157.6498960449001;-11.107436268191355;2.133656805648758;-5.735614064950195
5.0;167.9373962740207;-10.430285552795304;-20.083235178927435;-12.484229470941958
7.0;170.6047393817895;-9.277682879046148;-6.974098915174071;-2.6917365938382796
5.0;178.51653848730007;-3.1186950811258147;-15.122402563552116;-10.056862872164254
14.0;173.3490525416859;-0.16599386860771284;-19.02723526454107;2.7366006773677367
4.0;175.9250204945523;-5.6931641001883895;8.147188119255794;-10.36766457777739
3.0;182.59581641911328;-10.450204926383345;21.448456517163297;10.141856795561642
4.0;189.67716844962914;-2.3748059828558845;30.372420236874735;13.390454835487462
9.0;184.19709111620372;8.605286668056921;18.941400692348743;16.341232586970445
5.0;179.64713394073917;11.615091862188208;-9.558945947994625;0.45202537808630366
9.0;176.06547330812904;37.17421464851612;14.76490296224137;13.851648695942492
15.0;160.66557652871396;68.84269171516877;3.0319369981016164;-8.731196117844597
17.0;126.0196726741032;126.31185549945238;-0.6666973003591398;-16.28801367918734
3.0;-7.576035193753145;-25.744375448901554;1.2506333105631293;3.7992563044806342
18.0;451.5332264919643;71.87350145385193;16.629852485301587;-4.349049607390084
0.8;-206.31226514572901;-0.12178033304163245;-0.12526144979150283;-1.2322451180939336
0.2;-205.88962694417066;-0.4088876121615365;-0.47621829885201356;-0.08476212542109104
0.73;-205.38583576302915;-0.5872571679627001;-1.2001003459591113;1.0724778241363198
0.6;-204.84319097654156;-0.4843834271128906;0.2999386334021538;-0.11944163772261689
0.53;-205.18353086626485;-0.12389531732970595;-0.8575753316163822;-1.8601923856283413
1.0;-205.3905331103855;0.0852060900451702;-1.3840444008531307;-0.6427116904814139
0.33;-204.86942054601863;-0.3519923249856029;-0.40794895250458835;-0.7657504912629237
0.4;-205.2315556607092;-0.1483238467774907;1.4784850031851409;-1.0245086701442336
0.73;-204.794523637979;-0.11203006958604475;0.5789734117640607;-0.9751040726842503
0.27;-205.03768568792214;-0.031061706437010304;0.06917451116222766;-0.6813166201683578
0.8;-204.72738847793664;-0.37494459860659185;0.24703866207727573;0.1702011467020787
0.8;-205.0412698788091;0.017495766631456706;-1.6458549586857718;-0.5653476679507893
0.4;-204.8327415882139;0.12716325390395883;0.11162634079619234;0.6425969473671685
0.87;-205.042578996353;0.015872204653079102;0.17454220751940103;-0.35254767368563483
0.53;-204.72774093138187;0.3164722644597046;0.05791461039833466;0.4621401244931041
0.4;-204.41392275520457;0.38998449803956536;-0.14299540183838771;-0.9941976503146557
0.4;-204.3619337360687;0.01362031372866169;-0.4987168155803571;-1.4798379983052405
0.53;-204.75826580453054;0.8364667857551652;-1.6896022846231735;0.42028256489714266
0.13;-204.61304462926788;0.548696125109628;1.712161814459546;0.10254834475967133
0.67;-205.1495379408162;0.7736221864461538;-1.2832015302228459;-1.1900301307899719
0.47;-204.81652954065615;0.9348634251950052;-0.7689756548639415;1.9939249455776864
0.47;-205.19276356557774;1.2294876649919995;0.039927184918604204;0.7458305121429437
0.53;-204.99115499247316;1.7634483133449081;-0.6557623650687272;1.3046123205008402
0.73;-205.26168829597472;2.720903714514902;0.1427973114009342;-0.12451095092174623
0.53;-205.2685520187266;4.709108798199;0.7107962450615034;0.6414854517271236
0.87;-207.7291148532405;5.338941428885136;-0.22280330267135187;-0.9863148354140425
0.2;-209.63600612934655;-0.6707001439463481;0.04869769165629667;-0.4119030062336504
0.13;-209.17575056924233;-0.8153917127651745;-0.4990232384561844;0.16437265589229783
0.6;-208.80120325507966;-0.757096776880955;-0.6116074208211911;0.19306612933375472
0.07;-208.88799019855614;-0.5781681212616182;0.18009837657696748;0.7220537960803762
0.4;-208.41300559227676;-0.6198045147373905;1.1303564596976128;-0.285616740568234
0.27;-208.53673445652458;-0.44858263959709926;0.683680470611659;0.48001691076652053
0.13;-208.2186345442733;-0.6742832123961205;0.3699313074270628;0.39359258639030914
0.33;-208.03859382678473;-0.5050599438580436;0.9148074836011312;-0.7686941598610834
0.4;-207.8681765339771;-0.24360635344025977;0.44215244248909374;-0.0394098697366932
0.4;-207.84912482168778;-0.4406769673231793;-0.3433217599460368;0.46597266204576954
0.2;-207.8851677492617;-0.6083271472886538;-0.1899203644019039;0.4194504465807828
0.6;-207.7867496371177;-0.005488125977375853;-0.6036457062899839;0.4529173936542178
0.33;-207.47396887512056;-0.3606375988410736;0.3473790836038291;0.2655113258587007
0.27;-207.99191834771256;-0.1596159079444055;0.132106790875317;-0.26080527440436546
0.13;-207.64325272918538;0.011231188595049449;-0.8439232787223839;-0.5912904741232706
0.27;-207.55708594999817;0.01909617024558552;-0.3198581011780798;-0.1305354135002619
0.13;-207.2944469920058;0.3078426105575638;-0.5237055276507533;-0.33345539604761715
0.73;-207.4366864135234;0.38613950346611514;-0.6363523295224252;0.09075861497832916
0.07;-207.31139442165576;0.3360404979549965;0.4083298752290475;-0.24876124909486844
0.0;-207.09610738274444;0.19590051413782006;0.9233186565041142;0.496617028233943
0.07;-206.89491832034398;0.6017425522781259;1.423939296790977;0.5015906867042449
0.4;-207.02472576190567;1.00772442295509;0.9392487847826477;0.6701761506545021
0.13;-207.12579002513246;1.1115706872354574;-0.21521697469336246;0.08920494711617163
0.4;-207.0476361794304;2.460497418883214;0.8050821308412435;0.672117430243722
0.8;-207.38396240604376;3.717540563736764;0.43478109193428277;-0.5546568040753632
0.93;-208.1536456432361;6.423663969744869;0.5345189015293398;-0.7985571695037827
