# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;90daysBkbills
# prediction_type;rolling
# method; FCBF(n_components=9)
"90daysBkbills";"M1";"Credit.Total";"Urate.LFT";"Cons.RenDwe";"Cons.InsFin";"ResInv";"IP.Total";"IP.TCO";"Emp.TotalPer"
1.54;0.592028024;0.86853552;-0.066666667;3.259824627;17.23161345;-1.580509136;14.9476586;-8.721430312;2.464112824
0.36666667;-15.46362926;2.86129465;-0.166666666;3.576839175;44.09384457;36.91051157;1.541427726;13.53194581;5.483923863
1.97666666;7.237497488;1.132265815;-0.066666667;3.672689016;16.0123031;-17.2122436;-3.088818438;12.68648535;4.783777812
-0.13333333;-10.56161634;-5.636165555;0.466666667;3.365366308;15.69547203;11.27184044;-3.112856177;4.804862579;4.47565011
-2.84333333;19.14076685;0.945939038;-0.233333334;3.650694106;26.80982937;-12.53009879;-7.093781976;13.88553014;5.340271399
1.71;2.985768961;4.444801773;0.666666667;3.576279151;30.97313532;-7.376997638;5.528222247;-9.334405106;0.297889012
-0.68333334;-9.722581945;-8.726300278;-0.233333333;4.159625645;17.99023823;-6.731550452;0.783545794;-6.946341768;1.818795237
0.24;7.528167177;0.353518493;-0.333333334;3.792270619;8.773248828;2.213187094;6.213717185;4.973951184;1.816237354
-2.02333333;-0.202656772;2.805913506;0;3.475120353;4.243559993;9.620473348;13.63768454;8.025715773;2.787888074
-1.89;5.05231279;-0.2131799;-0.199999999;3.026142342;-0.479961661;11.86289534;7.380283165;11.83857292;3.25518367
-0.44333333;1.381525731;2.809850582;0.199999999;3.498506623;5.437717894;23.99645276;20.66354331;5.790434995;1.680799773
-0.98333334;-12.6915062;6.827586847;-0.433333333;3.899587754;4.897059399;32.15967286;0;2.956133547;6.335811132
1.27333334;7.109900591;-7.299360584;0.433333333;3.687201469;8.061426424;20.83261714;-1.391305751;11.25301072;2.710060877
1.09;-1.082360783;1.223048588;-0.433333333;4.076640691;0.04586367;54.65396793;4.159482888;-1.613990085;3.458627802
1.26666666;2.198115781;0.89591;0.166666667;3.883247064;12.81698098;31.7309454;17.54075301;8.357716807;4.184230226
1.83666667;10.16168206;-4.737855424;0.133333333;3.789342473;12.33288901;22.42240379;-3.980132341;-7.998489122;5.287600447
1.33333333;-29.84864552;1.569128235;-0.266666667;3.903202298;3.387851933;26.98323614;5.2980907;0.538237354;5.062574531
0.26333334;4.263254327;-4.026070626;0.333333334;3.8654826;0.640034272;5.313307347;0;-14.97891912;3.973865453
0.12;0.302426317;-2.992992932;-8.88e-16;3.131780379;4.746824089;-19.13821281;-2.640273613;-6.757551611;2.993475379
-1.71;-10.44178661;-0.610486354;0.533333333;3.653327067;3.815742547;0.672834473;13.67098072;-12.30274775;1.141868495
-1.38666667;22.07818622;2.1838115;-0.066666667;3.67431711;4.316737962;-8.531039599;-1.924622799;34.03921848;1.979891555
-0.98;-5.158664812;-6.237975076;0.466666667;3.747981962;9.50531699;-10.67142354;0.642570419;-36.19239226;-0.800607883
-1.53333333;-0.533978003;-2.506565905;-0.033333333;3.5893804;0.282101669;-4.968028377;0;7.774783151;-2.501835254
-0.87666667;-10.10593282;-0.812905276;0.199999999;3.469782441;5.997713329;1.188472698;-5.820636256;-23.58870149;-4.330037269
-0.85666667;8.729923477;-4.848131632;0.166666671;3.370389502;1.426167699;-10.98815961;1.300814155;-39.90444475;-2.951149271
-0.80666666;10.2327561;-0.428965177;-0.733333337;3.117978718;-0.989854502;-4.086672245;1.94332366;33.52406764;-2.20940689
-1.633333337;-7.100658965;0.535239246;0.03333333;3.247928828;-3.104184318;16.57517909;1.933928022;-2.080087891;-1.206473905
-0.89;2.128289451;0.462458307;-0.13333333;3.119887953;0.079896135;14.92970358;-3.228427534;-13.79081166;1.229169718
-0.773333333;0.623395456;-1.716093554;0.06666667;2.809166684;-0.119850188;5.654603638;-0.648824149;-9.170707361;-0.669193058
-0.95;30.40470827;1.98398729;-0.20000001;2.571815638;-2.123296087;18.50590553;1.29659757;1.323044205;1.330296877
0.11;-38.57824626;1.484261356;0.06666668;2.738478657;-2.902653334;21.97285074;5.78323327;9.14076773;-2.154784982
-0.186666667;7.748251709;1.589277958;-0.36666668;3.083314065;-5.951398892;9.692177741;2.543728763;-13.34550908;0.528848143
-0.48;5.953063206;0.944457647;-0.03333332;3.12527291;-5.166695445;8.235585031;6.912976459;25.21707463;-0.187293391
-0.316666666;-9.642570517;-1.060422135;0.23333332;3.978023412;-11.73575102;18.14900717;-4.385321919;-13.38059456;1.689465408
-0.093333334;6.954166269;3.083059804;-0.16666666;3.649601418;-5.043985573;3.385937878;6.250127161;-8.072267403;4.579838827
0.026666667;3.123658734;0.850540619;-0.33333333;3.377573743;-2.393262511;12.19533033;8.589287083;46.54960955;2.527396664
0.133333333;-5.980579256;2.732313496;-0.23333334;3.79164796;1.350690244;28.56718198;2.420582273;-22.59804086;3.132279945
0.683333334;-3.27718996;-0.523574738;7e-09;4.256278257;6.043715233;1.712591526;8.358513091;-8.814627413;5.394652628
1.54;-6.179727896;1.099134161;0.233333329;3.112371756;-0.17141633;0.110238391;0;5.688797492;2.578675586
1.006666666;-6.86706625;-1.753471613;0.133333334;3.31900868;-3.22773283;-15.62215681;-3.560854376;8.281869345;3.798333744
-0.48;4.047024281;1.436343837;0.033333334;2.772948159;-2.079502138;-15.72037824;5.329464479;4.685564145;4.65738628
-0.17;7.458928362;0.171639566;0.166666666;2.238002299;-3.271020791;2.969134773;8.151664935;8.020318818;2.2704047
-0.09;2.658220555;4.453015758;0.2;2.919444956;0.481426832;-23.89133469;2.871512691;-36.12411726;2.1301725
0.033333334;3.879205847;0.217285663;-0.266666667;4.168109981;4.566507873;-13.28134774;10.72753073;-6.57188934;0.731697726
0.076666666;-3.525718078;-3.293710588;0.133333334;2.260733318;6.179054432;-1.365743949;-5.045617006;-8.93392804;0.932824975
-0.433333333;-2.928718188;-0.320908186;0.199999999;2.336507069;7.842561751;1.690234922;1.688953952;18.5361349;0.020883225
-0.703333333;9.247524201;-2.394341427;-0.166666666;2.821051952;7.650788938;9.487624269;2.240902219;-5.427491682;0.411017256
-0.5;-9.115407126;-0.71477016;0.066666667;2.641333178;7.024491541;22.65918152;-5.625971787;7.578034497;1.379275806
-0.173333334;5.474131925;2.089536266;-0.133333334;3.533310452;8.443164923;16.41977818;7.298448091;20.28132322;-0.121556759
-0.8;2.529602005;3.574655436;1e-09;3.345137311;9.463518847;16.0483203;4.426047925;-12.42335881;1.046416355
-0.003333333;-3.618427892;-1.225248766;-0.266666668;3.430809153;5.580063738;31.86845285;5.464565862;8.324962298;3.096010354
0.023333333;-11.05609124;-1.963100956;0.233333334;4.300131292;6.662115892;6.571612488;0;-9.588786415;1.404988025
0.093333334;7.711635937;-0.435755945;0;3.18459675;7.653082472;6.317360682;4.855083206;16.32879781;2.103764923
0.063333333;-0.973033379;2.317785731;0.133333334;3.394018527;7.796810922;7.722625013;-1.073826148;8.813576391;2.01781472
-0.293333333;-5.667942605;-1.111690807;-0.600000001;3.474878927;9.335354274;8.714733016;0.537273419;-10.23381628;1.567761622
-0.046666667;6.904145598;-0.084479379;0.233333334;3.404275867;12.19701494;6.483580991;5.86286312;-0.610221324;1.355530845
0.06;-3.571078724;-0.772338671;0.066666666;3.684671678;11.43941435;3.202802142;-7.476853205;-25.20518713;1.528573605
0.09;0.44862224;-0.344986021;0.1;4.542011865;9.186787684;19.44561057;2.686376786;3.883525651;2.39096215
0.526666667;1.414389174;0.635983157;0.033333334;3.162176396;7.872883957;17.28065347;2.668455527;-7.805125689;3.318645819
0.316666666;0.676818503;0.144550368;0.033333333;2.980434265;5.257641316;44.53686724;15.64736664;37.38696486;1.323732032
0.41;0.940562652;1.580387988;-0.266666667;2.191571865;4.756964074;27.20202221;2.040820754;-2.199455679;4.521612138
0.226666667;-0.054061722;0.686210778;0.133333334;2.024335221;-8.149210553;-74.78716838;5.559154544;-3.423126857;4.382048066
-0.106666667;-0.953724617;-3.396658844;0.433333333;2.374583518;4.173405186;-68.1800403;2.002507311;-8.791562688;-2.21411839
