# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;BM
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"BM";"Emp.JobVac";"IP.NMM";"Credit.Total";"HCE.ITA"
0.154443352;8.2;35.82427093;0.86853552;19.73095503
3.824069596;-1.4;18.66790891;2.86129465;-15.91427047
-2.058393716;-1;-18.00947255;1.132265815;3.276361783
-5.597646109;-1.4;-2.640273613;-5.636165555;-16.96631723
9.382444202;1.3;6.568292085;0.945939038;7.944385192
-7.828655809;-5;-27.64368457;4.444801773;8.258974183
0.701594397;5.2;19.08368713;-8.726300278;-14.06239083
1.468921706;3.2;-29.69438886;0.353518493;2.738551765
-0.172352247;-2.6;36.94932805;2.805913506;-1.38505546
5.747723267;3.2;-27.03731645;-0.2131799;3.353814267
-2.660593265;-3.2;34.16301096;2.809850582;3.220365613
1.56353428;3.3;14.501194;6.827586847;24.105902
-2.161300124;4.2;-17.72441853;-7.299360584;-29.71284352
-0.679938036;6.4;34.69666138;1.223048588;-5.415818283
4.124518968;4.3;13.99559674;0.89591;4.812044584
-2.658382435;-0.4;10.74269513;-4.737855424;-9.057725081
-3.855020843;9;-30.71747645;1.569128235;26.28389562
-0.985076978;-17.1;8.346055386;-4.026070626;-9.316434875
-5.053162687;2.6;0.589535847;-2.992992932;-9.750386834
-4.90197787;-7.3;-2.363374674;-0.610486354;17.65724152
4.314650005;-7.9;-7.778853974;2.1838115;-14.46167157
-1.789574978;-7.3;-16.65622282;-6.237975076;2.078578697
0.867326823;-15.1;-3.797496877;-2.506565905;3.53590942
-5.220979497;-7.8;-22.22794046;-0.812905276;-9.890561263
-1.571496041;-2.2;-13.6765459;-4.848131632;-7.292532855
-0.300579303;-1.8;6.212376812;-0.428965177;14.58307122
1.57644382;1.1;-9.004709269;0.535239246;-13.02553345
-0.251789129;2.4;6.944618878;0.462458307;-9.270214359
3.627444858;-1.4;34.91927903;-1.716093554;-2.334784421
0.681780299;1.1;-12.82161052;1.98398729;13.84075533
-1.9115538;3.9;-1.95918759;1.484261356;1.702225445
2.113451991;0.1;26.59206804;1.589277958;-0.01344278
-0.960277384;5;18.55231534;0.944457647;6.386536532
-1.705858458;4.2;-24.72527735;-1.060422135;-3.484164059
2.441214683;2.3;14.65812867;3.083059804;5.145773734
2.73363298;9.1;-9.712161483;0.850540619;-4.587805726
1.183381777;11.9;4.278115647;2.732313496;9.48781441
-1.119048312;12.7;6.033296885;-0.523574738;-11.17467193
3.632002892;3.4;5.35323975;1.099134161;-3.892385182
-4.166737337;-12.9;-13.21441491;-1.753471613;6.67290819
1.324764882;4.6;-22.61198518;1.436343837;7.106254052
-0.438358919;-2.7;-3.896134699;0.171639566;-9.334672072
4.116049184;-2.1;3.249408609;4.453015758;3.781257058
-0.14334786;8.5;8.960374676;0.217285663;9.958534948
-2.958932656;-4.3;-31.59536453;-3.293710588;-29.63592347
-2.083076001;0.8;3.410080329;-0.320908186;13.18425667
4.794286857;5;6.734165786;-2.394341427;-0.018511234
-3.820786513;-1.2;11.19414617;-0.71477016;-4.457091389
2.005157066;1.5;33.01483864;2.089536266;6.629207962
-1.311244374;2.1;-15.85573436;3.574655436;8.851586571
1.283270495;5.5;9.831524106;-1.225248766;-7.200420261
-3.43126723;7.9;-1.215806407;-1.963100956;-0.547566164
0.880205698;5.7;-32.32161297;-0.435755945;1.086214739
3.857953819;-14.2;29.26583034;2.317785731;-9.303013442
-1.265883402;12.2;8.498043445;-1.111690807;7.117834706
0.650324528;-14.8;1.797755835;-0.084479379;10.94382787
-0.542519316;13;47.84332315;-0.772338671;3.404275867
-2.86950877;6.7;-89.39006851;-0.344986021;-9.128182902
-3.081467245;2.7;44.52516567;0.635983157;1.979232739
5.523321182;8.5;74.01517728;0.144550368;-37.73423495
0.449236143;-2.2;-2.473724644;1.580387988;35.9900694
-0.469169196;-1.5;-1.990053856;0.686210778;3.666576598
-4.060722727;0.4;-43.14295834;-3.396658844;-4.876408745
1.296233101;-15.2;-17.6039764;1.881512549;10.74303333
3.885011453;-5.6;26.39553909;-2.298960182;-14.43455591
-5.548277393;-3.8;-52.17224598;-1.48795419;7.026529487
5.743483618;-1.7;95.40193459;3.448390993;2.316243112
-3.39063943;2;7.250953837;-0.623178576;30.4127848
-20.59324385;5.7;11.33487885;8.010945666;-31.91216884
22.43327402;6.8;3.708021919;-6.022622092;-1.847558948
0.607346945;-5.4;12.7138966;-4.500419757;-3.876057821
1.795149211;12.1;-25.84520472;3.435576665;4.172964181
-7.9882284;-5.1;-12.10013619;-1.516519289;-7.126069602
4.954330748;-0.5;35.2547478;-1.169445755;-16.64414007
1.368781412;3.4;-6.349339663;5.970361235;20.51601246
-0.143261365;-3.7;-0.915332207;-1.124973583;-15.77986857
-1.244364335;23.3;13.51479903;0.085209541;10.95161766
-0.511295633;-2.5;-2.220994046;-0.200842081;4.471286447
3.797189371;14.6;-9.921590946;0.071699786;-3.127256786
-0.180025486;7;14.35131507;0.881727139;4.439060091
0.815621818;-5.3;46.91737583;-3.239692396;-6.206996968
-2.679508749;-1.9;-17.62046645;1.379622177;3.543260487
-2.279209174;-4.9;19.96422315;1.053821897;-10.27856022
5.193408861;10.2;17.15365268;0.881055019;27.08358905
1.751009728;9.8;-4.880398412;0.585297917;-17.27073873
-2.390898935;0.8;1.13154248;-0.973682446;-3.027268025
1.154994191;7.2;-7.604791795;-1.812605136;7.763859097
0.314377478;-1.3;15.43720988;1.653295808;-6.886008134
3.48589232;7.8;-10.85700716;2.458402801;11.87371655
2.121560749;4.7;8.263204648;0.583828306;-2.724552723
4.39248964;10;7.366690714;-0.863163562;-4.19205608
-8.294005926;-5.1;7.233470173;-2.377108301;6.749809236
-3.635195288;6.3;9.562208341;-5.333481763;-3.751340341
5.095659285;-5.933333333;0.349803258;-0.749643839;2.561088115
-0.415959844;-5.933333333;4.519822102;-1.167337581;-3.943094342
-5.774743029;-5.933333333;-27.17756382;-5.227982334;-13.2466607
-4.134567218;-5.933333333;-13.16526921;-0.316204452;-1.727127117
-3.210725441;-5.933333333;9.821078802;1.460630683;0.161443771
-3.980461925;-5.933333333;11.04025923;-1.33284067;17.4768077
3.500686091;19.5;-14.78911516;3.238731045;0.230883815
5.84472653;2;22.33990117;-1.182797217;-10.89268284
1.354123427;8.1;-13.4009817;0.163530614;-4.342841748
0.914810974;12.6;-4.44449017;-0.357655;3.079865269
-1.458160354;-1.7;1.115760835;1.47716325;8.339516323
-2.451005596;-2;-10.91832491;-1.738120626;-4.367289042
1.993404589;-4.1;-5.766558305;1.057549702;4.32012054
0.698530063;-4;-9.006743714;0.926965075;-13.40693105
-1.403402761;2.6;5.115662447;-0.637359486;1.828546846
-0.603326413;-3.7;-26.6765498;1.474278152;10.90385852
1.179824796;-3.1;24.32360184;-1.900443121;5.128435891
-2.176011296;-10.1;-11.57187932;-1.227612179;-14.73539295
-0.707645574;-15.1;13.14204817;0.880474173;-1.311565432
2.239092886;-6.4;-18.85060581;0.608609012;13.74425179
-3.039383898;-3.3;-1.646092858;0.433794764;-0.498092204
3.35049178;-1;15.76757954;0.60193835;3.015910387
-1.141131097;4.4;2.765443114;0.312876864;-3.23364736
1.432916729;3.4;14.3079536;0.3892875;12.12457659
0.100190879;-1;6.406166129;0.384987019;-30.83816906
-1.465209487;4.5;7.407619107;0.619480492;18.93393226
