# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-MacEqu
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"Cap-MacEqu";"Gov.NatLoc";"UrateLabForce";"Emp.JobVac";"HStartsSA";"LoaAdv"
20.69426976;13.39643473;-15.666667;8.2;-27.52798427;9.806389504
3.505998541;-12.34831118;41.666667;-1.4;15.79388653;-4.924300574
-14.37667364;6.073132693;-11.333333;-1;-84.60645956;-2.79854481
-11.51278636;-0.595238205;22.666666;-1.4;-85.03983554;-6.196403614
20.13626454;10.63908135;0.333334;1.3;47.29246598;3.577863682
6.387361271;2.544096463;-47.000001;-5;16.30968154;-0.878023398
80.05940278;1.840141256;2.666668;5.2;9.147143299;-4.939406632
-41.50352081;-1.801718509;-13.666668;3.2;24.21467609;-0.271132061
30.19255839;4.01398695;12.333334;-2.6;-15.71079733;12.63035951
-11.98363298;2.35138631;4.666667;3.2;14.86572659;-13.53056562
38.49877921;7.176676877;-19.333334;-3.2;57.67248569;0.349575528
9.743043725;5.367970067;61.666667;3.3;-10.07391997;0.168958048
33.35508036;-1.156043652;-27;4.2;68.46000578;4.774867312
-42.10061734;3.567450297;-55.666666;6.4;11.59200082;11.69459189
62.15809402;4.635633594;63.999999;4.3;8.96750875;-0.046304935
9.012832708;-10.00804137;21;-0.4;-28.92701202;-5.073514484
5.07515871;24.29653781;-27.666666;9;-33.34327715;6.352838103
-22.16472295;-4.36666491;5.666666;-17.1;-69.16473909;-2.150186994
-12.31716233;2.765270256;-22.999999;2.6;18.89258906;-12.84016765
-15.1479128;9.973173628;8.666666;-7.3;52.43226614;5.301521262
-14.83629493;3.893716204;7.666666;-7.9;9.7208033;-6.692817361
-1.51435026;-1.299332493;-12.999999;-7.3;25.85447465;-0.239143239
-16.22513451;0.168983146;-43.333334;-15.1;-5.254767313;-5.67870221
-41.0292083;-0.236596399;-19.999999;-7.8;-28.34577168;-1.526842986
-3.587467993;2.947443808;34.999999;-2.2;4.379185313;0.042726292
-2.97873717;5.946269274;-49;-1.8;27.406081;-0.917798533
-1.354845756;-1.756350943;33.333334;1.1;-3.061856083;-0.443877326
12.65483398;-3.268046524;40.666666;2.4;21.82550237;-4.833929032
-4.59375155;-3.784800836;-38.999999;-1.4;56.83165293;-0.508688124
-15.34121851;19.67136532;36.333332;1.1;-2.978949977;15.18491651
117.6287482;-8.652854283;-64.666666;3.9;-9.620516801;-10.03791728
-23.55591245;6.393872886;10.666667;0.1;17.31136146;3.197320629
