# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Cons-RenDwe";"AveComp";"X5yrT.bond";"X10yrNSWT.bond";"HCE.MV"
3.259824627;8.978967978;0.28333333;0.36;0.892331777
3.576839175;2.6029654;0.15;-0.1;-3.287012459
3.672689016;7.708782219;1.31666667;1.07333333;3.239384907
3.365366308;9.555910224;-1.35;-0.60666667;6.770246731
3.650694106;1.134350282;-1.08333333;-1.07666666;-8.723633673
3.576279151;11.17001028;1.81666666;1.43666666;9.951232591
4.159625645;2.539255332;-0.55;-0.07;5.700608563
3.792270619;4.354525059;0.48333334;0.19666667;-13.29502096
3.475120353;5.444089749;-1.01666667;-0.56333333;-4.846251675
3.026142342;9.824939653;-0.76666667;-0.69666667;1.612604315
3.498506623;5.434338801;0.2;0.02;1.499091824
3.899587754;2.881164918;-1.01666666;-0.61333333;-2.78746454
3.687201469;9.519005667;0.11666666;-0.33;1.479639466
4.076640691;0.933344127;0.43333334;0.14;0.576771297
3.883247064;14.28505232;0.76666666;0.50333333;-4.94022477
3.789342473;8.485076746;1.15;1.16666667;0.710581678
3.903202298;6.233287135;0.13333334;-0.13;-3.537772923
3.8654826;5.966834681;-0.28333334;-0.15666667;2.278904697
3.131780379;4.473749473;-0.15;-0.14;2.201278777
3.653327067;10.22988347;-0.29333333;-0.05;-2.700252252
3.67431711;8.848837481;0.38;0.07;-4.840893536
3.747981962;7.077946931;-0.65666667;-0.23;-6.755761274
3.5893804;-0.633496239;-0.99;-0.87666667;13.50737922
3.469782441;3.838346903;-0.96333333;-0.74666666;-8.627557866
3.370389502;1.149576232;-0.56;-0.59666667;10.42136812
3.117978718;5.955959071;-0.34333333;-0.34;-1.958460105
3.247928828;7.788982983;-1.78666667;-1.05666667;2.054865301
3.119887953;0.100819156;0.7;0.30666667;-6.125879327
2.809166684;4.460919613;-1.126666667;-0.906666667;-6.402283882
2.571815638;5.248899284;-0.366666666;-0.516666666;9.25689011
2.738478657;5.423646276;0.41;0.263333333;-1.806563863
3.083314065;2.901366686;-0.9;-0.933333333;7.243725848
3.12527291;4.026879647;-0.566666667;-0.643333334;-2.931659986
3.978023412;-2.00837242;-0.556666667;-0.746666666;0.866319628
