# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-JobVac
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Emp-JobVac";"TotComp";"Cap.BioRes";"Unum.LFT";"Credit.Nar"
8.2;10.78809055;-11.47854947;-7.109359106;0.86853552
-1.4;8.213946896;-18.46940131;-11.21286533;2.86129465
-1;12.78641946;-24.51670602;-17.41771767;1.132265815
-1.4;14.20785002;-11.17574748;7.031027141;-5.636165555
1.3;4.165777115;1.995016604;-5.642618916;0.945939038
-5;10.74030744;-4.670611865;26.80171741;4.368907721
5.2;4.946161402;-12.26671936;12.68084638;-8.574512174
3.2;6.296327223;16.27343065;-1.6862264;0.136431288
-2.6;10.44549449;40.41289009;-1.668038052;3.088299813
3.2;13.10890499;57.00002504;-12.08395772;-0.613314575
-3.2;7.287545293;21.79132839;-3.039448687;3.081466169
3.3;7.867896956;26.70836907;-21.61519887;6.71575707
4.2;11.70629958;29.77498458;0.832004737;-7.238527315
6.4;5.22665751;45.68310906;-27.75945175;0.864120618
4.3;19.13850064;16.83277817;-15.06872079;1.087597883
-0.4;13.82070774;8.695994655;-9.45404953;-4.870082348
9;12.30974891;0;-28.3217313;1.378678315
-17.1;11.42775902;4.632568483;-7.042916921;-4.130942803
2.6;7.64809692;-8.594780079;-7.625911058;-2.969549662
-7.3;11.7719134;-15.87656486;29.92935314;-0.414426322
-7.9;9.979579053;-25.26337274;22.11419131;2.108760526
-7.3;4.219637645;-42.72414279;49.93269046;-6.194642318
-15.1;-2.069157895;-42.83925422;39.40497511;-2.756535026
-7.8;-1.766455896;-30.98322362;41.9837;-0.771519051
-2.2;-2.759038205;-18.68471543;47.16507718;-4.799091007
-1.8;1.904278379;-19.01005675;14.3395657;-0.009168262
1.1;5.914374262;-37.71130561;16.22967185;0.187991982
2.4;1.281953372;-13.85134274;11.88304386;0.586207337
-1.4;4.957680436;9.942516842;12.28174328;-1.155283618
1.1;6.496101682;30.85715034;4.233206441;2.539296672
3.9;3.164313677;-7.957416208;6.459935768;0.912692309
0.1;1.358034012;1.850427356;-2.186716951;1.732227652
5;5.364565529;9.125871106;-4.341417086;0.838149851
4.2;-1.530646808;17.64992196;3.378843004;-1.117585816
2.3;4.76304646;-9.316287202;-1.422765728;3.585058015
9.1;12.217688;1.176471436;-16.15279513;0.581369103
11.9;10.22047165;8.139815766;-23.4842729;2.387772487
12.7;-2.351411082;43.58047352;-24.63059194;-0.52774084
3.4;6.382513756;-13.64961833;-18.0760705;1.360218293
-12.9;10.23772887;-16.35105032;-12.10546308;-2.434881403
4.6;3.936378798;-22.30742382;-7.811053153;1.709355441
-2.7;9.502064938;-33.73645937;-2.770307341;0.707518781
-2.1;9.219066687;-62.19396114;5.325668349;3.476578711
8.5;3.373656461;-26.26425832;-3.828199059;-0.070175021
-4.3;6.529000713;12.57470937;-3.887385671;-3.138082551
0.8;8.71586162;67.4757632;8.824371483;-0.401148631
5;6.498145571;-31.96262055;-0.369254144;-2.458488836
