# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsNSW
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"HStartsNSW";"X10yrNSWT.bond";"X5yrT.bond";"X90daysBkbills"
-6.874321211;0.36;0.28333333;1.54
10.25151292;-0.1;0.15;0.36666667
-56.59413376;1.07333333;1.31666667;1.97666666
-61.81240864;-0.60666667;-1.35;-0.13333333
43.18843738;-1.07666666;-1.08333333;-2.84333333
-2.623345366;1.43666666;1.81666666;1.71
23.14261445;-0.07;-0.55;-0.68333334
-13.24880259;0.19666667;0.48333334;0.24
23.69603122;-0.56333333;-1.01666667;-2.02333333
87.77741831;-0.69666667;-0.76666667;-1.89
12.82860941;0.02;0.2;-0.44333333
28.16690729;-0.61333333;-1.01666666;-0.98333334
63.12164985;-0.33;0.11666666;1.27333334
-68.47122547;0.14;0.43333334;1.09
-16.65778965;0.50333333;0.76666666;1.26666666
-30.91000229;1.16666667;1.15;1.83666667
-66.784965;-0.13;0.13333334;1.33333333
-53.28899402;-0.15666667;-0.28333334;0.26333334
14.80990742;-0.14;-0.15;0.12
55.87350702;-0.05;-0.29333333;-1.71
-57.00246158;0.07;0.38;-1.38666667
3.763729408;-0.23;-0.65666667;-0.98
33.75562661;-0.87666667;-0.99;-1.53333333
-30.35233259;-0.74666666;-0.96333333;-0.87666667
56.68982796;-0.59666667;-0.56;-0.85666667
55.11002612;-0.34;-0.34333333;-0.80666666
-18.98942998;-1.05666667;-1.78666667;-1.633333337
16.59347415;0.30666667;0.7;-0.89
32.37095635;-0.906666667;-1.126666667;-0.773333333
20.16859815;-0.516666666;-0.366666666;-0.95
-16.02611426;0.263333333;0.41;0.11
50.73486496;-0.933333333;-0.9;-0.186666667
-4.368282549;-0.643333334;-0.566666667;-0.48
12.20712328;-0.746666666;-0.556666667;-0.316666666
31.70073304;-0.136666667;-0.133333333;-0.093333334
26.77098505;0.486666667;0.6;0.026666667
14.41096998;1.893333333;1.593333333;0.133333333
-43.02138103;0.80333333;0.796666667;0.683333334
-23.43674701;0.64333334;0.96;1.54
-31.68763307;-0.33333334;-0.10333333;1.006666666
6.755667379;-0.84333333;-1.223333337;-0.48
3.401116387;-0.303333333;-0.406666666;-0.17
11.28723158;-0.643333334;-0.42;-0.09
5.377709833;0.126666667;0.063333333;0.033333334
0.811301131;0.343333333;0.543333333;0.076666666
52.86425207;-0.873333333;-0.746666666;-0.433333333
-14.87614779;-0.713333333;-0.856666667;-0.703333333
22.69088881;0.433333333;0.19;-0.5
-12.37150403;-0.276666667;-0.133333333;-0.173333334
1.776569201;-1.126666666;-1.01;-0.8
-10.73835169;-0.173333334;-0.25;-0.003333333
9.497602713;-0.153333333;-0.266666667;0.023333333
-0.576288851;-0.326666667;-0.163333333;0.093333334
-22.05655584;-0.076666666;-0.026666667;0.063333333
4.232618761;-0.433333334;-0.63;-0.293333333
14.8484358;0.266666667;0.38;-0.046666667
53.72460074;0.433333333;0.416666667;0.06
11.82793364;0.543333334;0.413333333;0.09
37.03711473;0.326666666;0.463333333;0.526666667
-36.68252386;0.313333334;0.453333334;0.316666666
-35.56994789;-0.513333334;-0.533333334;0.41
-1.52413575;-0.176666666;-0.106666666;0.226666667
35.41348161;-0.306666667;-0.366666667;-0.106666667
16.5964341;-0.71;-0.81;-0.766666666
35.40512532;0.396666667;0.416666667;-0.64
7.199371008;-0.026666667;0.053333333;-0.06
-6.513904628;-0.42;-0.443333333;-0.55
2.442871661;0.546666667;0.653333333;0.046666666
-0.582809205;0.313333333;0.236666667;0.49
-11.89275759;-0.423333333;-0.503333334;0.12
-18.2477419;-0.226666667;-0.27;-0.096666666
18.34916886;-0.323333333;-0.313333333;-0.086666667
3.781194068;-0.186666667;-0.1;-0.023333333
24.6632929;0.373333333;0.41;0.07
-12.16405873;0.376666667;0.53;0.433333333
-55.32921528;-0.153333333;-0.173333333;0.293333333
-18.27557077;0.253333333;0.12;-0.03
-8.894211613;-0.28;-0.173333334;-0.073333333
2.102537659;-0.223333333;-0.23;-0.023333333
29.45542025;0.186666666;0.22;0.203333333
-10.97896757;-0.163333333;-0.153333333;0.076666667
16.73920216;-0.113333333;-0.11;-0.066666667
5.918141938;0.186666666;0.186666667;0
-5.18926197;-0.12;-0.116666667;-0.013333333
21.03259634;0.416666667;0.436666667;0.223333333
6.654941388;0.093333333;0.14;0.31
-5.544666596;-0.08;0.016666666;0.196666667
-9.439729813;0.133333334;0.156666667;0.063333333
11.15458819;0.223333333;0.183333333;0.013333333
-11.92565304;0.213333333;0.04;0.296666667
3.365511268;0.16;0.21;0.396666667
-8.385197892;0.093333334;-0.11;0.473333333
-74.50635834;0.136666666;0.09;0.21
-25.52610342;-0.313333333;-0.5;-0.356666667
15.60172906;-1.056666667;-1.626666666;-2.383333333
83.49176514;-0.3;-0.67;-1.706666667
27.77577715;0.696666667;0.933333333;-0.193333333
-28.99808512;0.073333333;0.706666667;0.11
-57.92937153;0.016666667;0;0.683333333
-66.28226616;-0.07;-0.003333334;0.276666667
-8.00049463;-0.093333333;-0.006666666;0.52
9.700684266;-0.5;-0.483333334;0.05
18.05759211;0.316666666;0.416666667;0.153333333
-4.558023182;0.34;0.123333333;-0.02
9.361923997;-0.25;-0.183333333;0.03
21.43415992;-0.65;-0.953333333;-0.086666666
38.89138796;-0.426666666;-0.536666667;-0.256666667
-27.61605263;0.1;-0.033333333;-0.213333333
-21.30704964;-0.47;-0.72;-0.623333334
6.75962982;-0.41;-0.216666667;-0.23
-11.37556425;-0.083333334;0.08;-0.383333333
17.36407662;0.303333334;0.296666667;-0.17
26.73777277;-0.063333334;-0.14;-0.12
10.13015992;0.493333334;0.3;-0.233333333
23.3984825;0.133333333;0.236666666;-0.053333334
-6.383367402;-0.173333333;-0.013333333;0.043333334
-5.060800697;-0.333333334;-0.173333333;0.053333333
-0.645982287;-0.34;-0.263333334;-0.043333333
8.412876381;-0.313333333;-0.286666666;0.093333333
