# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsTotal
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=1)
"HStartsTotal";"p_gfsm"
2.088518489;0.28333333
1.032781534;0.15
-59.30819233;1.31666667
-57.46759811;-1.35
31.55830611;-1.08333333
14.47703963;1.81666666
12.14710511;-0.55
-5.320413015;0.48333334
19.70296345;-1.01666667
36.19526803;-0.76666667
44.44414087;0.2
4.703090999;-1.01666666
75.10166417;0.11666666
-32.66100428;0.43333334
-14.23452082;0.76666666
-37.62268499;1.15
-55.90363711;0.13333334
-58.64221748;-0.28333334
9.691773714;-0.15
52.1462415;-0.29333333
-38.71066438;0.38
4.653897774;-0.65666667
3.636260552;-0.99
3.798115585;-0.96333333
47.11136125;-0.56
46.44667058;-0.34333333
-7.581628776;-1.78666667
24.31921055;0.7
38.49941927;-1.126666667
15.50709959;-0.366666666
-2.392283;0.41
23.03639513;-0.9
22.83788502;-0.566666667
10.10562873;-0.556666667
26.90914797;-0.133333333
30.83621747;0.6
3.351648874;1.593333333
-52.44706316;0.796666667
-28.87210469;0.96
-52.57236295;-0.10333333
0.208806617;-1.223333337
29.30782995;-0.406666666
7.181546981;-0.42
8.687988549;0.063333333
-18.359802;0.543333333
36.97314451;-0.746666666
-16.77715745;-0.856666667
11.47194748;0.19
5.107405585;-0.133333333
-5.464937835;-1.01
-5.947589154;-0.25
-1.628554648;-0.266666667
15.86697322;-0.163333333
-32.09840412;-0.026666667
4.512247776;-0.63
27.02585186;0.38
30.55883528;0.416666667
5.110145119;0.413333333
30.51628726;0.463333333
-16.5932278;0.453333334
-40.31292663;-0.533333334
9.963458626;-0.106666666
17.38799428;-0.366666667
11.52217444;-0.81
42.36508029;0.416666667
11.55661138;0.053333333
-0.34564708;-0.443333333
7.006757302;0.653333333
-4.707222803;0.236666667
-8.774316222;-0.503333334
-4.532272995;-0.27
23.00940781;-0.313333333
11.21865579;-0.1
20.415218;0.41
-6.073774779;0.53
-50.810365;-0.173333333
-10.73997277;0.12
3.422121352;-0.173333334
8.032095144;-0.23
28.81384916;0.22
2.846069487;-0.153333333
9.298259176;-0.11
13.83689527;0.186666667
-1.953874647;-0.116666667
16.74376204;0.436666667
9.621278128;0.14
-11.37339441;0.016666666
-3.241584498;0.156666667
16.92626193;0.183333333
-11.47205524;0.04
0.578735981;0.21
-15.20050921;-0.11
-71.07640469;0.09
-29.21613059;-0.5
15.22948762;-1.626666666
58.40193489;-0.67
24.00504676;0.933333333
-16.23875152;0.706666667
-36.59971786;0
-58.87845013;-0.003333334
-21.851922;-0.006666666
2.748645866;-0.483333334
14.98403325;0.416666667
-17.93501319;0.123333333
15.04651339;-0.183333333
6.612329379;-0.953333333
17.97660907;-0.536666667
-0.58813261;-0.033333333
-4.232595788;-0.72
1.768783349;-0.216666667
2.119849292;0.08
12.70604066;0.296666667
25.37958863;-0.14
9.733005999;0.3
5.223758171;0.236666666
-2.564792994;-0.013333333
-3.080967644;-0.173333333
0.791859121;-0.263333334
7.222128449;-0.286666666
