# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;90daysBkbills
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"90daysBkbills";"Cons.Other";"Cons.Final";"FedFunds";"Emp.PtPer"
1.54;0.203510562;4.506666313;4.42333334;6.692154164
0.36666667;19.26408495;9.297643731;-0.58666667;7.995811782
1.97666666;-2.528576376;5.490534674;1.73666667;9.984866965
-0.13333333;-7.583632297;-5.433982251;0.39;2.198485258
-2.84333333;9.627183756;8.458177366;-2.36;21.37519761
1.71;7.881081467;2.854938419;0.83333333;1.406759657
-0.68333334;2.655926286;-0.738214853;-0.56666667;6.324598879
0.24;-1.705355496;1.369887888;0.26333334;7.096578804
-2.02333333;6.778227621;2.157544359;-2.34666667;5.298861971
-1.89;12.13607223;5.946772434;-1.95;6.360346907
-0.44333333;7.890863378;4.000278617;-0.7;4.144038669
-0.98333334;4.678415905;4.044139922;-0.71333333;5.447083288
1.27333334;3.4079944;-0.030750476;1.6;3.991322243
1.09;23.07600811;6.237628784;0.58;4.768419249
1.26666666;4.816876251;5.83933172;1.21333333;3.698801791
1.83666667;15.83183676;8.097109374;1.59;13.51721545
1.33333333;3.726735032;3.26973897;1.54333333;6.262173571
0.26333334;0.926283702;3.637550973;0.70333334;12.61053076
0.12;1.385416047;2.867659717;0.18333333;4.954592049
-1.71;6.931526396;3.974845375;-1.11666667;2.844492574
-1.38666667;0.829797563;2.542577481;-1.93333333;5.765124802
-0.98;-3.177622158;0.372784739;-0.7;-2.118997631
-1.53333333;-0.684215695;-2.185534343;-1.31333333;5.625904187
-0.87666667;8.059777433;1.130415858;-1.05;3.035647686
-0.85666667;1.265706035;1.379519138;-0.98;5.086538611
-0.80666666;6.342315762;5.127280914;-0.84;-1.987785084
-1.633333337;6.243320939;0.414780031;-1.31666667;1.567666012
-0.89;1.438074531;3.932789768;-1.276666667;9.33996359
-0.773333333;5.701147642;3.518764664;-0.68;7.331497841
-0.95;4.852806774;0.766587855;-1.08;7.126197856
0.11;9.054382272;1.748354055;-0.076666666;-2.848558783
-0.186666667;-1.369161015;0.01925493;-0.063333334;-6.598916971
-0.48;6.057112763;3.405059099;-0.443333333;-4.569406751
-0.316666666;-2.167292806;-0.450807585;-0.35;7.412985008
-0.093333334;7.401388626;6.942329285;-0.203333333;7.073028302
0.026666667;-1.87103582;2.300040988;0.006666666;6.489083753
0.133333333;6.576582589;2.390868219;-0.033333333;3.40922362
0.683333334;8.345861029;7.740457104;0.353333333;8.695379876
1.54;4.236239851;2.920979076;1.333333334;6.726460566
1.006666666;10.21171122;4.479523371;1.12;5.280536969
-0.48;-5.073269291;4.762130236;0.02;3.647934492
-0.17;7.802385166;0.688295184;-0.003333334;2.53390266
-0.09;6.803197778;4.269111246;-0.006666666;5.62020423
0.033333334;5.612221506;3.716175479;0.01;0.111997629
0.076666666;4.528575109;2.694262505;-0.003333334;3.247436713
-0.433333333;3.12801299;0.874654667;-0.326666666;0.907185391
-0.703333333;2.870335228;2.963001797;-0.573333334;2.074211109
-0.5;5.679608606;3.919078325;-0.573333333;7.707738848
-0.173333334;4.520468682;6.368114186;-0.186666667;1.732964695
-0.8;2.156339454;6.075749725;-0.71;2.242317601
-0.003333333;0.622040134;4.880166961;-0.13;6.212430865
0.023333333;6.557064518;0.650935864;-0.01;1.263139391
0.093333334;11.39803145;6.274287668;0.023333334;6.597227946
0.063333333;12.60323598;7.492349327;-0.043333334;1.693002217
-0.293333333;0.784467794;3.977668252;-0.073333333;5.824951718
-0.046666667;7.556182774;7.333887198;-0.173333333;-0.555385612
0.06;-0.92390648;3.336815966;0.023333333;3.000639202
0.09;-0.668595463;3.772937053;-0.01;0.847288536
