# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=8)
"Cons-RenDwe";"Cons.TraSer";"RetSales";"X10yrT.bond";"X5yrT.bond";"HStartsACT";"HCE.MV";"AveComp";"X10yrNSWT.bond"
3.259824627;2.944141763;15.01147902;0.21666667;0.28333333;-23.67315266;0.892331777;8.978967978;0.36
3.576839175;2.657817087;11.48514984;-0.03333333;0.15;2.907593239;-3.287012459;2.6029654;-0.1
3.672689016;0.793913592;13.1839997;1.1;1.31666667;-49.96870042;3.239384907;7.708782219;1.07333333
3.365366308;0.528401662;2.009293721;-1.35;-1.35;-61.73843515;6.770246731;9.555910224;-0.60666667
3.650694106;17.56253678;15.35128478;-0.85;-1.08333333;95.66276844;-8.723633673;1.134350282;-1.07666666
3.576279151;-13.36026569;8.884028437;1.43333333;1.81666666;-47.51729549;9.951232591;11.17001028;1.43666666
4.159625645;19.87670053;3.857558507;-0.51666667;-0.55;10.53322378;5.700608563;2.539255332;-0.07
3.792270619;-16.23558306;7.98176802;0.21666667;0.48333334;-40.23239459;-13.29502096;4.354525059;0.19666667
3.475120353;12.23804823;6.988271822;-0.8;-1.01666667;43.76079148;-4.846251675;5.444089749;-0.56333333
3.026142342;3.748855932;12.28400942;-0.15;-0.76666667;63.12963412;1.612604315;9.824939653;-0.69666667
3.498506623;14.65365327;6.14465982;0.46666667;0.2;18.37157274;1.499091824;5.434338801;0.02
3.899587754;5.714382899;5.285699365;-1.06666667;-1.01666666;-48.04553203;-2.78746454;2.881164918;-0.61333333
3.687201469;-6.674767514;12.80401952;-0.28333333;0.11666666;75.36241689;1.479639466;9.519005667;-0.33
4.076640691;30.31227182;6.60581853;-0.01666667;0.43333334;-52.14021039;0.576771297;0.933344127;0.14
3.883247064;3.328729335;13.38572631;0.5;0.76666666;-29.95600656;-4.94022477;14.28505232;0.50333333
3.789342473;12.83067328;11.24932346;1.13333333;1.15;-41.99819424;0.710581678;8.485076746;1.16666667
3.903202298;-10.84665157;7.116340848;0.06666667;0.13333334;-90.23184248;-3.537772923;6.233287135;-0.13
3.8654826;7.191694675;9.155845253;-0.28333333;-0.28333334;-53.76114095;2.278904697;5.966834681;-0.15666667
3.131780379;5.576497825;7.835628473;-0.13333334;-0.15;60.11288122;2.201278777;4.473749473;-0.14
3.653327067;6.967713789;3.628054326;-0.00333333;-0.29333333;106.3512777;-2.700252252;10.22988347;-0.05
3.67431711;11.34974259;5.706670881;0.38333333;0.38;-39.11437095;-4.840893536;8.848837481;0.07
3.747981962;5.054401343;1.337730013;-0.13666666;-0.65666667;-11.31908326;-6.755761274;7.077946931;-0.23
3.5893804;0.401606459;0.362327483;-0.87666667;-0.99;17.36073367;13.50737922;-0.633496239;-0.87666667
3.469782441;15.93522743;6.616407961;-1.07333333;-0.96333333;76.41123176;-8.627557866;3.838346903;-0.74666666
3.370389502;18.28351244;0.093731656;-0.51;-0.56;18.74870765;10.42136812;1.149576232;-0.59666667
3.117978718;6.215847201;14.82945898;-0.31;-0.34333333;-29.62803933;-1.958460105;5.955959071;-0.34
3.247928828;5.942040396;3.345493669;-0.993333337;-1.78666667;1.270514567;2.054865301;7.788982983;-1.05666667
3.119887953;6.207173992;3.814815652;0.349999997;0.7;78.10986092;-6.125879327;0.100819156;0.30666667
2.809166684;-3.712733837;7.138964858;-0.86333333;-1.126666667;24.1270677;-6.402283882;4.460919613;-0.906666667
2.571815638;-3.568266303;-2.657817105;-0.413333333;-0.366666666;53.69898743;9.25689011;5.248899284;-0.516666666
2.738478657;11.30817358;5.142243152;0.243333333;0.41;-51.73899984;-1.806563863;5.423646276;0.263333333
3.083314065;-1.571025367;3.860934031;-0.846666667;-0.9;19.55485731;7.243725848;2.901366686;-0.933333333
3.12527291;7.107445931;3.70507396;-0.59;-0.566666667;53.5095197;-2.931659986;4.026879647;-0.643333334
3.978023412;-5.014113635;0.679232664;-0.756666666;-0.556666667;-23.62258376;0.866319628;-2.00837242;-0.746666666
3.649601418;-9.507489835;11.78596243;-0.126666667;-0.133333333;5.718467644;-11.3142873;1.38781021;-0.136666667
3.377573743;21.16712374;6.276433272;0.46;0.6;60.23830102;8.931626368;7.712108311;0.486666667
3.79164796;-6.473735852;4.146285102;1.833333333;1.593333333;12.26426096;-4.961867903;5.95359828;1.893333333
4.256278257;7.317796093;9.985857581;0.8;0.796666667;-67.70532632;6.487309108;-7.455947464;0.80333333
3.112371756;11.46972411;4.14253266;0.586666667;0.96;-22.79736984;-2.663000128;2.812291875;0.64333334
3.31900868;4.562167581;7.672477073;-0.13333333;-0.10333333;-95.46721514;-5.754948309;5.934276667;-0.33333334
2.772948159;-10.00667317;11.85981911;-0.950000003;-1.223333337;-11.47306184;10.11504028;-0.829206792;-0.84333333
2.238002299;39.51097314;6.976793503;-0.293333334;-0.406666666;51.44360656;-2.643268154;6.948746174;-0.303333333
2.919444956;2.550168023;5.672424443;-0.543333333;-0.42;30.3735603;-5.889532944;7.897945609;-0.643333334
4.168109981;-0.299177276;2.465492811;-0.03;0.063333333;-10.73567342;-0.92224943;3.142478127;0.126666667
2.260733318;19.56594409;4.338115455;0.486666667;0.543333333;-28.25891025;0.614911728;4.210103552;0.343333333
