# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;FedFunds
# prediction_type;rolling
# method; FCBF(n_components=4)
"FedFunds";"X90daysBkbills";"Gov.Nat";"Gov";"LoaAdv"
4.42333334;1.54;-13.95538379;4.194470664;9.806389504
-0.58666667;0.36666667;19.63609568;-0.552235124;-4.924300574
1.73666667;1.97666666;5.364407624;6.125980765;-2.79854481
0.39;-0.13333333;9.246937022;2.711874794;-6.196403614
-2.36;-2.84333333;10.01718619;10.55174941;3.577863682
0.83333333;1.71;8.816911256;5.166959114;-0.878023398
-0.56666667;-0.68333334;-13.96557216;-4.461344486;-4.939406632
0.26333334;0.24;-1.680033016;-1.759938608;-0.271132061
-2.34666667;-2.02333333;10.46082746;6.538054575;12.63035951
-1.95;-1.89;4.005596755;3.028310102;-13.53056562
-0.7;-0.44333333;14.78027424;10.21384897;0.349575528
-0.71333333;-0.98333334;3.258673827;4.532488337;0.168958048
1.6;1.27333334;-9.495359309;-4.44672373;4.774867312
0.58;1.09;7.621322732;5.148796841;11.69459189
1.21333333;1.26666666;-17.56971884;-3.986663204;-0.046304935
1.59;1.83666667;29.75162973;5.652175673;-5.073514484
1.54333333;1.33333333;14.05193892;20.15101736;6.352838103
0.70333334;0.26333334;-35.73804013;-16.4944108;-2.150186994
0.18333333;0.12;11.76608009;6.20516307;-12.84016765
-1.11666667;-1.71;2.249171275;6.942717754;5.301521262
-1.93333333;-1.38666667;13.98093595;7.742804407;-6.692817361
-0.7;-0.98;-8.13633727;-3.881260267;-0.239143239
-1.31333333;-1.53333333;5.419858239;2.212723065;-5.67870221
-1.05;-0.87666667;18.54140632;7.001799524;-1.526842986
-0.98;-0.85666667;0.974659352;2.173585207;0.042726292
-0.84;-0.80666666;18.39112851;10.75914453;-0.917798533
-1.31666667;-1.633333337;-11.82569027;-5.699980656;-0.443877326
-1.276666667;-0.89;-7.605159406;-4.914677286;-4.833929032
-0.68;-0.773333333;9.579371342;1.45307482;-0.508688124
-1.08;-0.95;4.830557147;13.95901606;15.18491651
-0.076666666;0.11;9.458904917;-1.703703303;-10.03791728
-0.063333334;-0.186666667;-3.571177419;2.472811055;3.197320629
-0.443333333;-0.48;6.715631696;-4.237725538;0.097528036
-0.35;-0.316666666;-3.20575696;-1.263892378;0.606684239
-0.203333333;-0.093333334;12.31516571;7.322343759;0.49958445
0.006666666;0.026666667;9.632651087;5.769153306;2.246062012
-0.033333333;0.133333333;-11.03213887;-1.794595619;1.215966637
0.353333333;0.683333334;15.24635017;7.140906064;-0.059598829
1.333333334;1.54;-2.217029249;-2.310737596;-0.569241433
1.12;1.006666666;1.095654113;1.824830143;-2.324003844
0.02;-0.48;11.66246824;14.19666095;0.55358445
-0.003333334;-0.17;-8.250628033;-8.567539525;6.142746798
-0.006666666;-0.09;16.77277372;14.5528863;-1.255107224
0.01;0.033333334;3.733124273;7.145397086;-5.845166728
-0.003333334;0.076666666;-11.91981673;-2.247795669;1.314256006
-0.326666666;-0.433333333;9.116416692;1.561233027;3.454292416
-0.573333334;-0.703333333;-11.27381344;-2.865306977;-5.602593411
-0.573333333;-0.5;3.579942788;3.126533055;0.027705319
-0.186666667;-0.173333334;10.71419043;5.246291876;1.155060212
-0.71;-0.8;12.90950821;8.929953655;3.505430098
-0.13;-0.003333333;3.917759037;4.26202716;-1.418595462
-0.01;0.023333333;-14.04488223;-5.786551131;-0.732627517
0.023333334;0.093333334;15.36822683;6.755175121;-2.922025279
-0.043333334;0.063333333;-4.716513393;8.550528397;4.460699965
-0.073333333;-0.293333333;15.12331342;5.419590896;-3.50373629
-0.173333333;-0.046666667;-7.927613315;-0.436219622;0.514392576
0.023333333;0.06;4.582010235;4.684423107;1.951614656
-0.01;0.09;-4.994142411;-1.888419312;-0.011253562
0.16;0.526666667;17.8916193;8.177307697;3.03783933
0.41;0.316666666;15.82475293;7.945519616;-3.143488689
0.59;0.41;0.710017345;-0.782379703;0.853507745
0.256666667;0.226666667;-1.824917993;-1.014266319;-0.896619572
0.07;-0.106666667;-10.37144154;-1.899062592;-1.698507728
-0.353333334;-0.766666666;7.917226845;3.279196863;-0.349743729
-0.86;-0.64;15.26428507;8.781763712;-1.883779149
-0.1;-0.06;0.666609355;2.298022519;2.243385828
-0.49;-0.55;4.998495902;1.049208016;1.237908189
-0.186666666;0.046666666;0.97414598;1.145200111;-1.668142225
0.23;0.49;6.06310379;3.677000782;16.35475162
0.283333333;0.12;2.886816505;2.842997916;-12.27963902
0;-0.096666666;3.48077319;3.312898664;-0.184599677
0;-0.086666667;6.00860324;3.683568945;0.975825615
0;-0.023333333;3.078014489;4.704680781;0.656400145
0;0.07;4.943859216;5.441729693;-7.750586211
0.236666667;0.433333333;0.465657794;2.658690109;10.12000016
0.263333333;0.293333333;9.097717869;5.64488487;-5.552905761
0;-0.03;2.165344395;0.387166597;1.396066633
0;-0.073333333;11.47453503;4.909425052;-0.822459289
0;-0.023333333;2.510218418;2.287001746;-0.659774066
0.08;0.203333333;5.85534988;4.579354228;-2.811494814
0.17;0.076666667;-2.3948641;-0.051577251;3.057263845
0;-0.066666667;-2.904792314;1.735233044;0.130456956
0;0;2.668455527;5.385446492;2.936469765
0;-0.013333333;-0.532268874;3.366240527;-0.77743827
0.16;0.223333333;11.2042336;8.184719502;-1.60669409
0.253333333;0.31;8.389792235;-1.698456501;-0.29548107
0.233333334;0.196666667;9.796862449;3.326700318;-0.359275336
0.103333333;0.063333333;5.334747592;3.278421003;0.081336153
0;0.013333333;3.206502197;3.878323864;0.643197574
0.15;0.296666667;-1.834288158;1.757369523;5.228718507
0.25;0.396666667;2.300509576;4.000680814;6.715553547
0.326666667;0.473333333;5.358216345;3.416804205;-6.5582793
0.273333333;0.21;4.693630949;2.727275678;-4.738801567
-0.076666667;-0.356666667;24.65263125;12.89247248;-1.357179009
-1.886666666;-2.383333333;-0.871836341;0.878454016;0.861156
-1.67;-1.706666667;-9.110797128;-2.361988663;-9.147087462
-0.596666667;-0.193333333;-4.489575096;-1.163462281;2.326739072
-0.02;0.11;2.885892924;3.718968122;2.93789636
0.476666667;0.683333333;2.512391019;1.42269867;-2.74641266
0.35;0.276666667;6.865977016;5.84976417;0.356131215
0.573333333;0.52;11.61059307;5.003172503;-0.379228916
0.1;0.05;-0.385387424;-1.121054148;-1.312142213
0.16;0.153333333;10.77805122;6.408200016;0.842894927
0.09;-0.02;3.363719892;3.184377794;0.898034272
0;0.03;3.39717916;4.19668392;-1.239569115
0;-0.086666666;-1.417130256;2.777537351;0.211913911
-0.23;-0.256666667;5.379906753;2.710573774;1.747475135
-0.27;-0.213333333;2.00463611;5.484579173;-1.573402641
-0.396666667;-0.623333334;9.298391783;5.020532953;2.516479558
-0.353333333;-0.23;-17.90383775;-8.377146329;-3.677663855
-0.316666667;-0.383333333;1.483142559;-1.465115839;-1.261609043
-0.183333333;-0.17;4.980621022;4.137302698;1.123913517
-0.15;-0.12;-2.26041075;0.719796055;1.998684423
-0.25;-0.233333333;11.66765109;3.970910882;-0.01811002
-0.1;-0.053333334;2.018032993;2.733760823;0.158979951
0;0.043333334;4.445144362;1.579371895;0.666677244
0;0.053333333;-3.927440675;0.525074545;0.505323111
0;-0.043333333;1.872918053;2.752548267;-0.191193306
