# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-ME
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"IP-ME";"Cons.OpeVeh";"Cap.IntPro";"ExrateJPY";"Unum.Total";"Cap.MacEqu";"PIMP";"IP.Man";"IP.MP";"Emp.HoursPt";"EXrateKRW"
9.327776938;3.606763344;29.76811729;-56.0810178;-3.406307071;20.69426976;-50.19334541;11.23669395;17.31336708;0.84358592;-35.33784635
-12.9741103;2.511782194;14.87555217;-2.706710383;-10.17293826;3.505998541;13.32128842;-3.89703848;-3.037220363;12.8370157;37.94851688
15.80097719;4.79122163;-27.52265376;-60.41539571;-10.14030429;-14.37667364;-24.2423685;0;-6.764188859;12.07842973;-10.85723192
-21.70514342;-3.603627977;65.78893105;-29.95758125;8.011388071;-11.51278636;-0.978354029;-6.770260353;-11.32151047;6.866692119;9.787432212
-17.4766638;10.59338278;-31.54342996;-36.20431554;-2.614977776;20.13626454;-4.232215341;-2.855115619;-12.96709983;8.664815182;1.308789427
43.38499826;5.493182233;7.115816625;-93.76554559;24.17800085;6.387361271;-59.00025761;12.4128437;26.14476212;2.979348961;-63.13915109
-36.4550848;0.479328997;16.28849351;42.60379346;7.842561751;80.05940278;21.32661008;-2.22841802;-2.476788099;6.169541557;19.25884877
26.57803976;-0.779201565;20.73491273;-11.18720254;-0.856867038;-41.50352081;6.89126338;4.996595158;14.63577897;8.468259127;10.45153593
-2.148617521;0.898944119;23.62803792;0.69054241;-4.100658893;30.19255839;15.39237958;12.49252925;8.296593723;6.564980356;3.986550199
9.228448361;2.26832424;47.3055682;4.929309572;-6.327526687;-11.98363298;7.490145821;4.784110185;5.82251911;4.637722343;-8.887209017
-0.702370681;4.557273532;24.97317623;-48.52692194;-1.247446951;38.49877921;-18.40331747;9.915706698;18.08217471;4.001378224;-10.23340131
9.72270089;8.155226415;10.34386663;-0.726506807;-16.55863746;9.743043725;3.880550128;5.630291294;0.552104988;2.276833709;-3.33452123
21.37403258;-8.037544744;13.16136044;34.99962622;8.134065497;33.35508036;31.30298799;-2.038220971;-17.47987774;1.053612336;17.24615195
-3.265324256;1.936765577;-1.365189038;26.72296958;-37.73926095;-42.10061734;29.84628989;6.083767465;9.117203811;7.257189479;-0.223710405
14.80458599;-1.348875994;12.78494028;-3.630925269;-5.35450646;62.15809402;9.550460729;18.67661101;38.12407192;11.43372925;8.432321462
-5.72802151;10.66575289;5.916295201;8.782539524;-5.427157001;9.012832708;10.32220264;-6.779823326;-0.512492062;14.9758467;-17.78943239
30.83189702;4.097346966;10.62436702;-5.46333036;-24.42529856;5.07515871;-22.65298961;7.739056399;-13.03046817;-0.096034733;-40.40804936
