# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;LabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"LabForce";"RGDP";"Cons.RecCul";"Emp.JobVac";"Cons.Hea";"HCE.DTA";"InvLevel";"Currency"
1.963440694;8.902859911;-4.122230079;8.2;-2.357360158;-3.065863728;17.48515594;-0.471828625
4.185857054;5.039001579;-1.185625173;-1.4;38.20222363;0.821240339;7.352259649;-6.918881082
3.590961638;-1.002234306;11.70101713;-1;0.195312504;0.773723894;8.800878566;-0.106636503
4.756763368;2.792993979;-7.19953987;-1.4;1.461811835;-6.467496806;12.74108989;3.046385126
4.713191087;-0.698911704;10.07208363;1.3;1.165615201;8.036736805;4.252958006;-0.221514612
2.208072429;1.141007731;1.642419517;-5;11.66151885;4.913313691;3.43571944;2.773644061
2.317885094;6.397614815;-3.651032059;5.2;4.216977091;-11.37118743;8.209935699;-4.709698242
1.597391408;3.800186011;-2.452667739;3.2;8.85032647;12.35628318;7.279131781;2.723934522
2.217749343;6.804427543;6.103699798;-2.6;8.837149331;-19.83916856;1.267829905;-0.2483009
2.483358419;6.93384971;11.51967234;3.2;-8.928338206;16.22023601;6.478596302;1.117265382
1.45121773;7.617116317;8.49492451;-3.2;10.53047653;-5.026610439;13.02890919;4.936541887
4.563907661;1.963446833;5.987833621;3.3;-1.959042206;7.495178332;2.269156488;-4.375335218
3.120632701;1.33775959;4.647355182;4.2;-2.327669952;-7.126113332;6.612651036;2.123937197
0.465583724;2.976199147;7.260439703;6.4;33.65062459;2.038691581;7.526592871;3.074118039
3.531123134;5.428100389;7.830802082;4.3;-8.424876133;1.189822094;5.663149619;-6.328657032
4.569442169;4.492786408;10.35270712;-0.4;4.10948158;-7.199647682;9.565078665;-2.491489499
3.180850077;8.289254686;5.413801497;9;6.291520433;2.728173209;14.3200715;-0.152957968
3.433344521;2.767492594;11.38545351;-17.1;-6.458430513;0.580582454;15.38243276;-2.303486489
2.26835497;-0.49532158;2.899635451;2.6;7.114975592;5.821654854;2.464624684;-2.212095002
2.68603318;3.314024154;5.736963554;-7.3;10.12097308;-2.296297131;5.84427941;4.20696784
3.020942965;0.212730884;1.797755835;-7.9;-0.560056097;-5.268449281;3.686991964;-1.170686747
2.379368538;-2.16235186;1.501589982;-7.3;-10.13533498;-10.78123442;-2.818864607;3.964289916
0.345713551;2.051745919;-4.288653079;-15.1;18.6117389;21.98752745;5.252210625;5.612918529
-0.578452709;-5.000573525;3.36526499;-7.8;5.062865759;-26.84550154;-4.320324479;-2.477256276
0.996053208;-1.123859826;3.222575336;-2.2;2.546059324;-23.6072998;-3.638268597;-2.254573222
-1.165975408;1.261698029;8.450020053;-1.8;9.95019501;40.97801008;-6.397223068;-5.669564821
0.281590969;0.899089459;-0.449185898;1.1;-31.67964105;-10.1898655;2.506736268;-3.644504897
2.234673347;3.608223656;5.745061458;2.4;17.94307564;2.706129211;-0.596288519;4.431513371
0.400137612;2.79651682;5.718310444;-1.4;21.31620888;7.437768654;-1.274653637;-1.838445756
2.044446109;3.398147678;-7.661274503;1.1;10.24672254;2.515020886;2.654499848;1.676464962
-0.902506378;8.019944257;8.969355788;3.9;2.574655769;-23.26170722;2.908180317;-0.93901313
-0.428625202;3.710301959;4.921308613;0.1;-0.642111972;13.31122761;4.343863604;1.60872607
-0.229308163;1.807871367;9.507185904;5;-1.072482544;12.06006227;3.925611524;-0.933790929
1.768660601;0.222878481;2.407123957;4.2;11.78111786;-6.135544136;-0.40737109;0.727546884
4.293997196;7.68577341;15.9550743;2.3;12.9275165;-4.595040967;3.750982864;-0.104916555
0.841333101;7.049187196;7.351504578;9.1;-9.604548274;-1.301871728;1.221160904;-0.101598351
0.709457754;4.399723993;-1.380501802;11.9;1.857109346;-0.65412239;5.469695286;-0.098435797
3.367648187;3.726767862;18.24640654;12.7;5.384762242;5.207528232;9.412466626;0.664315818
0.653772148;2.182597148;6.830575338;3.4;-6.828434859;9.46392879;10.51225032;-3.112946342
2.624030076;0.974880226;5.802542462;-12.9;8.989142341;-8.389662719;10.2216944;2.933139634
3.088331958;2.780429109;12.29065234;4.6;-9.333643266;-8.079932374;11.271464;-1.567912416
2.187410024;6.969566125;4.584577408;-2.7;1.170094614;4.34736529;4.919616469;-2.233299729
2.120825804;1.971571475;6.736726843;-2.1;2.466605966;6.749947986;2.11114654;0.697773873
0.843126731;7.334729;10.29625024;8.5;6.168045626;-10.43687264;1.292868721;-0.032233688
1.104741143;0.929123174;10.73361476;-4.3;-6.646473705;-2.487969309;2.659095953;-0.031662239
0.658446025;4.861530801;4.553820275;0.8;-7.315593831;3.06591975;7.620325715;-2.134529375
0.570853218;2.893411827;4.94205473;5;11.53331998;3.729610485;7.04011889;1.393660735
1.289853791;1.160005411;5.000065106;-1.2;-14.89056998;10.95093626;2.140379187;3.431779442
-0.611466607;11.91947646;10.62370923;1.5;18.25986214;-15.22538734;8.083696791;0.580582387
